NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS
KENNEDY-DONOVAN CENTER,1 COMMERCIAL ST,FOXBORO,MA,02035,2530,25021,NORFOLK,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CGSH-THE NORCAP LODGE-SBSTNC ABUSE SVCS,71 WALNUT ST,FOXBORO,MA,02035,2533,25021,NORFOLK,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
FRANKLIN PUBLIC SCHOOL DISTRICT,355 E CENTRAL ST,FRANKLIN,MA,02038,1352,25021,NORFOLK,1122,SCHOOL DISTRICTS,251-500,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,
DEAN COLLEGE,99 MAIN ST,FRANKLIN,MA,02038,1941,25021,NORFOLK,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PRIVATE,1001 TO 2000,,,,
FRANKLIN SENIOR CENTER,80 W CENTRAL ST,FRANKLIN,MA,02038,2103,25021,NORFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NEXT GENERATION CHILDRENS CENTER,831 W CENTRAL ST,FRANKLIN,MA,02038,3185,25021,NORFOLK,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
BRIGHT HORIZONS CHILD DEVELOPMENT CENTER,75 SGT WILLIAM B TERRY DR,HINGHAM,MA,02043,1518,25023,PLYMOUTH,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
PROJECT TURNABOUT INC-SUBSTANCE ABUSE,224 BEAL ST,HINGHAM,MA,02043,1595,25023,PLYMOUTH,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HARBOR HOUSE REHAB-NURSING CTR,11 CONDITO RD,HINGHAM,MA,02043,1746,25023,PLYMOUTH,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,138,,,
HINGHAM PUBLIC SCHOOL DISTRICT,220 CENTRAL ST,HINGHAM,MA,02043,2745,25023,PLYMOUTH,1122,SCHOOL DISTRICTS,501-750,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
QUEEN ANNES NURSING HOME,50 RECREATION PARK DR,HINGHAM,MA,02043,4206,25023,PLYMOUTH,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,104,,,
DEERFIELD SENIOR ADC-HINGHAM,20 POND PARK RD,HINGHAM,MA,02043,4327,25023,PLYMOUTH,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,101 TO 250,,,,
HULL PUBLIC SCHOOLS,7 HADASAH WAY,HULL,MA,02045,2306,25023,PLYMOUTH,1122,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
MANSFIELD COUNCIL ON AGING SENIOR CENTER,PO BOX 232,MANSFIELD,MA,02048,0232,25005,BRISTOL,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NORTH RIVER COUNSELING INC-SBSTNC ABUSE,769 PLAIN ST,MARSHFIELD,MA,02050,2118,25023,PLYMOUTH,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
MARSHFIELD PUBLIC SCHOOL DISTRICT,76 S RIVER ST,MARSHFIELD,MA,02050,2453,25023,PLYMOUTH,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
EAMES WAY ELEMENTARY SCHOOL,165 EAMES WAY,MARSHFIELD,MA,02050,6327,25023,PLYMOUTH,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,
MEDFIELD COUNCIL ON AGING SENIOR CENTER,459 MAIN ST,MEDFIELD,MA,02052,2009,25021,NORFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
THOMAS UPHAM HOUSE,519 MAIN ST,MEDFIELD,MA,02052,2522,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,40,,,
MEDWAY SENIOR CENTER,76 OAKLAND ST,MEDWAY,MA,02053,1305,25021,NORFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
MEDWAY COUNTRY MANOR,115 HOLLISTON ST,MEDWAY,MA,02053,1954,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,105,,,
MASSACHUSETTS CORRECTIONAL INST-NORFOLK,PO BOX 43,NORFOLK,MA,02056,0043,25021,NORFOLK,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
BAY STATE CORRECTIONAL CENTER,PO BOX 73,NORFOLK,MA,02056,0073,25021,NORFOLK,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
PONDVILLE CORRECTIONAL CENTER,PO BOX 146,NORFOLK,MA,02056,0146,25021,NORFOLK,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
NORFOLK SENIOR CENTER,PO BOX 161,NORFOLK,MA,02056,0161,25021,NORFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CAMP MEADOWCROFT,260 BOWKER ST,NORWELL,MA,02061,1241,25023,PLYMOUTH,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
SOUTHWOOD AT NORWELL NURSING CENTER,501 CORDWAINER DR,NORWELL,MA,02061,1630,25023,PLYMOUTH,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,136,,,
NORWELL KNOLL NURSING HOME,329 WASHINGTON ST,NORWELL,MA,02061,1737,25023,PLYMOUTH,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,66,,,
NORWELL KINDERCARE LEARNING CENTER,380 WASHINGTON ST,NORWELL,MA,02061,2010,25023,PLYMOUTH,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
NORWELL PUBLIC SCHOOLS,322 MAIN ST,NORWELL,MA,02061,2420,25023,PLYMOUTH,1122,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
EXPLORATION SUMMER CAMP,PO BOX 368,NORWOOD,MA,02062,0368,25021,NORFOLK,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
BILLINGS HUMAN SERVICES-SUBSTANCE ABUSE,275 PROSPECT ST,NORWOOD,MA,02062,1467,25021,NORFOLK,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
VICTORIA HAVEN NURSING FACILITY,137 NICHOLS ST,NORWOOD,MA,02062,2009,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,27,,,
GOLDEN LIVING CENTER OF NORWOOD,460 WASHINGTON ST,NORWOOD,MA,02062,2312,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,94,PREMIER,,
CHARLWELL HOUSE NURSING HOME,305 WALPOLE ST,NORWOOD,MA,02062,3021,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,117,,,
CARITAS NORWOOD HOSPITAL,800 WASHINGTON ST,NORWOOD,MA,02062,3487,25021,NORFOLK,1122,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SODEXO,UNCODED,>2000,120.1,Consorta,UHC (University HealthSystem Consortium),"43,820"
ITT TECHNICAL INSTITUTE,333 BOSTON PROVIDENCE TPKE,NORWOOD,MA,02062,3927,25021,NORFOLK,1122,TECHNICAL AND TRADE SCHOOLS,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
THE ELLIS NURSING AND REHAB CENTER,135 ELLIS AVE,NORWOOD,MA,02062,3946,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,159,PREMIER,,
NORFOLK ADULT DAY HEALTH CENTER,595 PLEASANT ST,NORWOOD,MA,02062,4603,25021,NORFOLK,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,251 TO 500,,,,
FINE MORTUARY COLLEGE,150 KERRY PL,NORWOOD,MA,02062,4766,25021,NORFOLK,1122,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,101 TO 250,,,,
LIFECARE CENTER OF THE SOUTH SHORE,PO BOX 830,SCITUATE,MA,02066,0830,25023,PLYMOUTH,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,115,,,
SCITUATE PUBLIC SCHOOL DISTRICT,606 CHIEF JUSTICE CUSHING HWY,SCITUATE,MA,02066,3225,25023,PLYMOUTH,1122,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
CARDIGAN NURSING HOME,59 COUNTRY WAY,SCITUATE,MA,02066,3746,25023,PLYMOUTH,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,55,,,
SHARON COUNCIL ON AGING SENIOR CENTER,PO BOX 20,SHARON,MA,02067,0020,25021,NORFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
EPOCH SENIOR HEALTHCARE OF SHARON,259 NORWOOD ST,SHARON,MA,02067,1099,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,1001 TO 2000,61,PREMIER,,
SHARON COUNTRY DAY CAMP,438 S MAIN ST,SHARON,MA,02067,1707,25021,NORFOLK,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
HORIZONS FOR YOUTH CAMP,121 LAKEVIEW ST,SHARON,MA,02067,2709,25021,NORFOLK,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
KINDERCARE LEARNING CENTER 1669,700 S MAIN ST,SHARON,MA,02067,2841,25021,NORFOLK,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
STOUGHTON COUNCIL ON AGING-SENIOR CENTER,PO BOX 582,STOUGHTON,MA,02072,0582,25021,NORFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NEW ENGLAND SINAI HOSPITAL AND REHAB CTR,150 YORK ST,STOUGHTON,MA,02072,1829,25021,NORFOLK,1122,HOSPITALS,501-750,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,>2000,177.6,PREMIER,HPPI (HealthCare Purchasing Partners International,"64,832"
STRIAR JEWISH COMM CTR ECC-AFTER SCHL,445 CENTRAL ST,STOUGHTON,MA,02072,1900,25021,NORFOLK,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
STOUGHTON EXTENDED DAY AND PRESCHOOL,137 WALNUT ST,STOUGHTON,MA,02072,2638,25021,NORFOLK,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
GODDARD REHABILITATION NURSING CENTER,909 SUMNER ST,STOUGHTON,MA,02072,3396,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,58,Amerinet Inc,,
COPLEY AT STOUGHTON NURSING CENTER,380 SUMNER ST,STOUGHTON,MA,02072,3430,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,114,,,
BLUE HILLS ALZHEIMERS CARE CENTER,1044 PARK ST,STOUGHTON,MA,02072,3762,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,>2000,86,,,
WALPOLE COUNCIL ON AGING SENIOR CENTER,135 SCHOOL ST,WALPOLE,MA,02081,2837,25021,NORFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WALPOLE PUBLIC SCHOOL DISTRICT,135 SCHOOL ST,WALPOLE,MA,02081,2837,25021,NORFOLK,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
CLARK HOUSE FACILITY,30 LONGWOOD DR,WESTWOOD,MA,02090,1132,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,66,,,
MULBERRY CHILD CARE AND PRESCHOOL,200 PROVIDENCE HWY,WESTWOOD,MA,02090,1522,25021,NORFOLK,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
WESTWOOD KINDERCARE LEARNING CENTER,411 PROVIDENCE HWY,WESTWOOD,MA,02090,1927,25021,NORFOLK,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,
DOWNEY STREET ELEMENTARY SCHOOL,250 DOWNEY ST,WESTWOOD,MA,02090,2034,25021,NORFOLK,1122,PRIMARY SCHOOL,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,101 TO 250,,,,
WESTWOOD SENIOR CENTER,210 NAHATAN ST,WESTWOOD,MA,02090,2538,25021,NORFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WESTWOOD PUBLIC SCHOOL DISTRICT,220 NAHATAN ST,WESTWOOD,MA,02090,2538,25021,NORFOLK,1122,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
WM E SHEEHAN INTERMEDIATE ELEMENTARY SCH,549 POND ST,WESTWOOD,MA,02090,2841,25021,NORFOLK,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
WESTWOOD LODGE HOSPITAL,45 CLAPBOARDTREE ST,WESTWOOD,MA,02090,2903,25021,NORFOLK,1122,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,192.3,UHC (University HealthSystem Consortium),Broadlane Inc,"70,175"
WRENTHAM SENIOR CENTER,PO BOX 480,WRENTHAM,MA,02093,0480,25021,NORFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SERENITY HILL NURSING AND REHAB CENTER,655 DEDHAM ST,WRENTHAM,MA,02093,1135,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,41,,,
SCHOOLS OUT-WRENTHAM,120 TAUNTON ST,WRENTHAM,MA,02093,1319,25021,NORFOLK,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
MAPLES REHAB AND NURSING CENTER,90 TAUNTON ST,WRENTHAM,MA,02093,1349,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,135,,,
SPEECH PATHOLOGY-AUDIOLOGY DEPARTMENT,PO BOX 823,BOSTON,MA,02103,,25025,SUFFOLK,,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BOSTON PUBLIC SCHOOL DISTRICT,26 COURT ST,BOSTON,MA,02108,2528,25025,SUFFOLK,1122,SCHOOL DISTRICTS,1000+,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,
SUFFOLK UNIVERSITY,8 ASHBURTON PL,BOSTON,MA,02108,2701,25025,SUFFOLK,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PRIVATE,>2000,,,,
ROBERT F KENNEDY CHILDREN ACTION CORPS,11 BEACON ST,BOSTON,MA,02108,3025,25025,SUFFOLK,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
ADCARE OUTPATIENT CLINIC-SBSTNC ABUSE,14 BEACON ST,BOSTON,MA,02108,3704,25025,SUFFOLK,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BOSTON ALCOHOL-SUBSTANCE ABUSE PROGRAMS,30 WINTER ST,BOSTON,MA,02108,4763,25025,SUFFOLK,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NEW ENGLAND COLLEGE OF FINANCE,10 HIGH ST,BOSTON,MA,02110,1670,25025,SUFFOLK,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,
URBAN COLLEGE OF BOSTON,178 TREMONT ST,BOSTON,MA,02111,1006,25025,SUFFOLK,1122,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,PRIVATE,501 TO 1000,,PREMIER,,
BRIDGE TROUBLED WATERS-SUBSTANCE ABUSE,47 WEST ST,BOSTON,MA,02111,1219,25025,SUFFOLK,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
RED OAK AFTER SCHOOL PROGRAM,885 WASHINGTON ST,BOSTON,MA,02111,1415,25025,SUFFOLK,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
FLOATING HOSPITAL-CHILDRENS FACILITY,750 WASHINGTON ST,BOSTON,MA,02111,1526,25025,SUFFOLK,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
TUFTS UNIVERSITY-SCHOOL OF DENTAL MEDICINE,1 KNEELAND ST,BOSTON,MA,02111,1527,25025,SUFFOLK,1122,AFFILIATED BUILDINGS,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
TUFTS NEW ENGLAND MEDICAL CENTER,750 WASHINGTON ST,BOSTON,MA,02111,1526,25025,SUFFOLK,1122,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,>2000,241.2,VHA Inc,Amerinet Inc,"88,043"
SPAN-SUBSTANCE ABUSE SERVICE,105 CHAUNCY ST,BOSTON,MA,02111,1766,25025,SUFFOLK,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
TUFTS UNIVERSITY-SCHOOL OF MEDICINE,136 HARRISON AVE,BOSTON,MA,02111,1817,25025,SUFFOLK,1122,AFFILIATED BUILDINGS,UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,,,,
BOSTON ASIAN YOUTH ESSENTIAL SVCS-AODA,199 HARRISON AVE,BOSTON,MA,02111,1840,25025,SUFFOLK,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NORTH END WEST END/NSC,1 MICHELANGELO ST,BOSTON,MA,02113,1116,25025,SUFFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SPAULDING REHABILITATION HOSP NETWORK,125 NASHUA ST,BOSTON,MA,02114,1101,25025,SUFFOLK,1122,HOSPITALS,751-999,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,>2000,147.0,VHA Inc,Amerinet Inc,"53,648"
SUFFOLK COUNTY JAIL,200 NASHUA ST,BOSTON,MA,02114,1105,25025,SUFFOLK,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
BAY COVE SUBSTANCE ABUSE TREATMENT CTR,66 CANAL ST,BOSTON,MA,02114,2002,25025,SUFFOLK,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
STEP INC-SUBSTANCE ABUSE TREATMENT PRGMS,131 BEVERLY ST,BOSTON,MA,02114,2118,25025,SUFFOLK,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
ERICH LINDEMANN MENTAL HEALTH CENTER,25 STANIFORD ST,BOSTON,MA,02114,2503,25025,SUFFOLK,1122,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
SHRINERS HOSPITAL FOR CHILDREN,51 BLOSSOM ST,BOSTON,MA,02114,2601,25025,SUFFOLK,1122,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT ST,BOSTON,MA,02114,2621,25025,SUFFOLK,1122,HOSPITALS,1000+,NOT APPLICABLE,501 TO 1000,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,757.5,VHA Inc,Amerinet Inc,"276,480"
MASSACHUSETTS EYE AND EAR INFIRMARY,325 CAMBRIDGE ST,BOSTON,MA,02114,3110,25025,SUFFOLK,1122,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
NEIGHBORHOOD ACTION SENIOR CENTER,35 BOWDOIN ST,BOSTON,MA,02114,4201,25025,SUFFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
